"y","p","Qr","Q","Eh"
26,0.218626246016938,0,0,0
2,0.201714329873212,0,0,0
24,0.175867178235203,0,0,0
3,0.195996263737325,0,0,0
27,0.177760607372038,0,0,0
47,0.208709291198757,0,0,0
3,0.173069291266147,0,0,0
18,0.171870738854632,0,0,0
1086,0.232530899608973,0,0,0
3,0.188052720502019,0,0,0
2,0.161450867059175,0,0,0
93,0.189562078032177,0,0,0
516,0.230936137170065,0,0,0
309,0.221331977732480,0,0,0
3,0.164322498557158,0,0,0
8,0.214115549572743,0,0,0
2,0.188514793554787,0,0,0
3,0.184150384371169,0,0,0
40,0.161481837939937,0,0,0
883,0.220570335146040,0,0,0
8,0.191101753429975,0,0,0
501,0.213204227925744,0,0,0
39,0.210629633222707,0,0,0
6,0.215394600357395,0,0,0
269,0.22106090023648,0,0,0
175,0.229003682206385,0,0,0
19,0.162683851260226,0,0,0
613,0.249300607356709,0,0,0
23,0.182612812202424,0,0,0
3,0.201851322022267,0,0,0
2,0.16124738387065,0,0,0
7,0.169964444292709,0,0,0
241,0.195402472701389,0,0,0
5283,0.231638353886083,0,0,0
18,0.179781321177725,0,0,0
48,0.187772376812063,0,0,0
4639,0.230486137745902,0,0,0
11,0.179944320779759,0,0,0
9,0.166896316907369,0,0,0
2504,0.231458660676144,0,0,0
6,0.162421485621016,0,0,0
4,0.229799984549172,0,0,0
34,0.199562100549228,0,0,0
29,0.188952921919990,0,0,0
19,0.188616724936292,0,0,0
70,0.193845880548470,0,0,0
1227,0.242076548605692,0,0,0
71,0.211721734122839,0,0,0
16,0.205150335321669,0,0,0
28,0.224311447527725,0,0,0
21,0.214379757847637,0,0,0
4394,0.235468227060046,0,0,0
19148,0.242057817105670,0,0,0
80,0.2075157007901,0,0,0
66,0.186759750875644,0,0,0
48,0.179912960056681,0,0,0
70,0.228460550052114,0,0,0
3,0.171614396262448,0,0,0
5816,0.240583004248329,0,0,0
432,0.227595165697858,0,0,0
19,0.183326574340463,0,0,0
4369,0.237752425908111,0,0,0
8031,0.242034611073323,0,0,0
12,0.172505439906381,0,0,0
15,0.184221163005568,0,0,0
44,0.208244303653482,0,0,0
4,0.246018803864717,0,0,0
126,0.221622721310705,0,0,0
2,0.23512450480368,0,0,0
30,0.189112702850252,0,0,0
3,0.211702938941307,0,0,0
2,0.200000108801760,0,0,0
10,0.179955792420078,0,0,0
161,0.214058502695989,0,0,0
85,0.205820250089746,0,0,0
83,0.209932798526715,0,0,0
15,0.170719295253512,0,0,0
13,0.181155750979669,0,0,0
385,0.248985093662050,0,0,0
71,0.239393693136517,0,0,0
285,0.238694048575126,0,0,0
228,0.204651461858302,0,0,0
40,0.161306272293441,0,0,0
17,0.220084115171339,0,0,0
515,0.215015033038799,0,0,0
22,0.171843005022965,0,0,0
3,0.163791200309061,0,0,0
256,0.199706232969183,0,0,0
10,0.166034166836180,0,0,0
54,0.186362401999068,0,0,0
9,0.178650687495247,0,0,0
203,0.24900698272977,0,0,0
46,0.161665966014843,0,0,0
2,0.209703612525482,0,0,0
318,0.232979454747401,0,0,0
73,0.221603662518319,0,0,0
21,0.176676689304877,0,0,0
3,0.212073796750046,0,0,0
212,0.213537891542073,0,0,0
2,0.175470177710522,0,0,0
5,0.177501901062205,0,0,0
8025,0.244654926899821,0,0,0
18,0.183225411097519,0,0,0
27,0.227163355757948,0,0,0
5,0.194703450852539,0,0,0
3,0.206610909672454,0,0,0
3,0.176531542444136,0,0,0
2,0.160089308612514,0,0,0
89,0.2450799056096,0,0,0
22,0.168663647791836,0,0,0
2,0.195311304836068,0,0,0
2,0.173169657913968,0,0,0
9,0.170058814359363,0,0,0
2,0.187837950431276,0,0,0
48,0.165756041123532,0,0,0
81,0.209874627301469,0,0,0
129,0.245811341451481,0,0,0
7,0.219445720613003,0,0,0
462,0.22360582516063,0,0,0
33,0.183571469369344,0,0,0
6,0.249666492161341,0,0,0
2,0.205751278677490,0,0,0
300,0.203102798922919,0,0,0
23,0.196929249984678,0,0,0
61,0.193957940349355,0,0,0
27,0.217084880680777,0,0,0
492,0.240660616166424,0,0,0
70,0.198855149818119,0,0,0
39,0.238123312089592,0,0,0
3,0.175948235366959,0,0,0
28,0.174819670652505,0,0,0
384,0.235782616783399,0,0,0
2983,0.233160864005331,0,0,0
75,0.235930504149292,0,0,0
570,0.231033923721407,0,0,0
2,0.217721836443525,0,0,0
75,0.219160396920051,0,0,0
333,0.238755385456607,0,0,0
4,0.185222479533404,0,0,0
43,0.215659214463085,0,0,0
4,0.173256504090969,0,0,0
1098,0.244770380072296,0,0,0
84,0.227844905173406,0,0,0
50,0.206674388675019,0,0,0
27,0.199816733715124,0,0,0
287,0.219307069140486,0,0,0
170,0.218724491184112,0,0,0
3,0.171525043519214,0,0,0
21,0.232673882765230,0,0,0
16,0.215645855846815,0,0,0
90,0.194560932200402,0,0,0
71,0.218209753208794,0,0,0
14,0.18174290164141,0,0,0
84,0.228682437133975,0,0,0
10,0.164380888550077,0,0,0
110,0.195403220681474,0,0,0
13,0.160999220632948,0,0,0
3,0.210232708239928,0,0,0
18,0.189879164465237,0,0,0
91,0.243339159900788,0,0,0
10849,0.245605894781183,0,0,0
1042,0.242716793385334,0,0,0
220,0.238831164420117,0,0,0
110,0.186238156084437,0,0,0
18,0.183084271897096,0,0,0
42,0.212912611267529,0,0,0
22,0.181606553285383,0,0,0
659,0.240310046167579,0,0,0
10,0.163062807433307,0,0,0
282383,0.248113957981113,0,0,551
4,0.187039953917265,0,0,0
41,0.178254026270006,0,0,0
14,0.171843410853762,0,0,0
1950,0.246869637800846,0,0,0
110,0.217028992057312,0,0,0
2,0.169208471183665,0,0,0
372,0.220777013180777,0,0,0
2,0.237812716644257,0,0,0
10,0.192070534657687,0,0,0
56,0.178793873409741,0,0,0
234,0.237550873029977,0,0,0
89,0.211167824747972,0,0,0
152,0.190376478286926,0,0,0
17,0.173094628565013,0,0,0
53,0.222473610232119,0,0,0
3,0.215924304053187,0,0,0
3,0.185460750742350,0,0,0
2,0.165030937264673,0,0,0
6,0.246141300832387,0,0,0
3069,0.245586410544347,0,0,0
4496,0.249470782831777,0,0,0
22,0.204374127271585,0,0,0
20,0.194248947328888,0,0,0
4,0.169338555785362,0,0,0
2,0.165708144456148,0,0,0
4,0.188160658250563,0,0,0
4,0.215823163629975,0,0,0
3544,0.237018278520554,0,0,0
1446,0.224066571798176,0,0,0
8,0.2436905469466,0,0,0
4697,0.243790673159529,0,0,0
14349,0.241055886393879,0,0,0
17858,0.245816425348166,0,0,0
18,0.176349288625643,0,0,0
157,0.201587608677801,0,0,0
3,0.243922875868157,0,0,0
276,0.226117928815074,0,0,0
508,0.247623265192378,0,0,0
75,0.181031461562961,0,0,0
998,0.223567261763383,0,0,0
15,0.167689128690399,0,0,0
4,0.216961283525452,0,0,0
31,0.242540762920398,0,0,0
260,0.196137213527691,0,0,0
113,0.206797170124482,0,0,0
25,0.235598299654666,0,0,0
11,0.165218222446274,0,0,0
8,0.167352834392805,0,0,0
14,0.221789488578215,0,0,0
16,0.163050166894682,0,0,0
38,0.175841635684483,0,0,0
40,0.20160860192962,0,0,0
2,0.216576644694433,0,0,0
6,0.189222835211549,0,0,0
6,0.235641692976933,0,0,0
25,0.228688267669640,0,0,0
10,0.183500993091147,0,0,0
36,0.200447596462909,0,0,0
244,0.198158694822341,0,0,0
390,0.226768976463936,0,0,0
11,0.183685314431787,0,0,0
47,0.199322390167508,0,0,0
14,0.238064761876594,0,0,0
4,0.245074401276652,0,0,0
2,0.180792134653311,0,0,0
35,0.188801331659779,0,0,0
217,0.202180738695897,0,0,0
2,0.207684660679661,0,0,0
56,0.232862798981369,0,0,0
127,0.214941197189037,0,0,0
10,0.191887663302477,0,0,0
20,0.164079773267731,0,0,0
13625,0.240274810846895,0,0,0
7,0.206858758965973,0,0,0
73,0.186708881524391,0,0,0
67,0.193123982851394,0,0,0
2,0.163003001338802,0,0,0
197,0.223229619823396,0,0,0
38,0.171716691984329,0,0,0
19,0.194323356060777,0,0,0
309,0.219276551427320,0,0,0
17,0.190998956491239,0,0,0
2,0.163619692279026,0,0,0
70,0.188651606163476,0,0,0
2,0.199145882437006,0,0,0
8,0.180689168567769,0,0,0
20,0.166200715901796,0,0,0
162,0.212801527455449,0,0,0
61,0.201390081585851,0,0,0
2,0.247685554760974,0,0,0
3,0.174254809000995,0,0,0
109,0.215644435449503,0,0,0
2,0.169206565704662,0,0,0
20,0.207690485222265,0,0,0
200,0.214983310196549,0,0,0
58,0.203208818493877,0,0,0
85,0.229641405416187,0,0,0
1778,0.231771448072977,0,0,0
9,0.205726762763225,0,0,0
56,0.223710565066431,0,0,0
8,0.199700794874225,0,0,0
50,0.198469584283885,0,0,0
82,0.207896070969291,0,0,0
1619,0.231463651848026,0,0,0
1143,0.244338353732601,0,0,0
6,0.179347951617092,0,0,0
9,0.175135347605683,0,0,0
42,0.176121339793317,0,0,0
875,0.228512410228141,0,0,0
42,0.216916039206553,0,0,0
36,0.203895496209152,0,0,0
17,0.208337328738999,0,0,0
21,0.224608882945031,0,0,0
43,0.186976965067443,0,0,0
536,0.244274310627952,0,0,0
19,0.221462243739516,0,0,0
33,0.207037640472408,0,0,0
2,0.202291885958985,0,0,0
7,0.168682446577586,0,0,0
7,0.227031430217903,0,0,0
2,0.160928521899041,0,0,0
41,0.171962197991088,0,0,0
3,0.189678441500291,0,0,0
28,0.170223681260832,0,0,0
10,0.167070155148394,0,0,0
79,0.181208883465733,0,0,0
8,0.180253346944228,0,0,0
32,0.187725442135707,0,0,0
340,0.21862198212184,0,0,0
2,0.220352303173859,0,0,0
28670,0.244493706943467,0,0,0
3,0.180387137751095,0,0,0
74,0.209036209143233,0,0,0
2,0.162522036042064,0,0,0
8,0.195557515635155,0,0,0
133,0.221251198858954,0,0,0
2,0.228158371462487,0,0,0
2,0.177766384305432,0,0,0
43,0.181310143058654,0,0,0
50,0.210779359620064,0,0,0
62,0.206316987047903,0,0,0
15,0.179312624325976,0,0,0
8001,0.238371518829372,0,0,0
7826,0.238809944500681,0,0,0
9,0.169235382394400,0,0,0
105,0.227006022762507,0,0,0
4356,0.24243312291801,0,0,0
17,0.185223199077882,0,0,0
7,0.188925605046097,0,0,0
97,0.232280843821354,0,0,0
52,0.197542935740203,0,0,0
56,0.203250440405682,0,0,0
30,0.226742290160619,0,0,0
6,0.219263628418557,0,0,0
6,0.174853128422983,0,0,0
53647,0.246921507825609,0,0,0
18,0.19285870290827,0,0,0
3,0.202522514632437,0,0,0
3,0.163423667412717,0,0,0
815,0.219838674040511,0,0,0
83,0.242136149134021,0,0,0
2002,0.237561921300367,0,0,0
236,0.23254380233353,0,0,0
11,0.174585023715626,0,0,0
19,0.176645774540957,0,0,0
6,0.181434937883168,0,0,0
20,0.18111708473647,0,0,0
2,0.176810791729949,0,0,0
167491,0.249679771694355,0,0,99
99,0.243922448873054,0,0,0
6446,0.242933701009024,0,0,0
5,0.162202664304059,0,0,0
3,0.202023780874442,0,0,0
94,0.189806817639619,0,0,0
27,0.195840382361785,0,0,0
15,0.243019852514844,0,0,0
23,0.192086850702763,0,0,0
64,0.21674428564962,0,0,0
14,0.190497342103627,0,0,0
336,0.227435568624642,0,0,0
11,0.174317966222297,0,0,0
14186,0.240352460944559,0,0,0
17,0.213730334339198,0,0,0
2,0.191864475961775,0,0,0
1231,0.237615544903092,0,0,0
86,0.219750849234406,0,0,0
4,0.162017370117828,0,0,0
29,0.248201584911440,0,0,0
3,0.228161515556276,0,0,0
5658,0.236440653158352,0,0,0
26,0.208894560742192,0,0,0
3,0.226559824531432,0,0,0
15,0.184730418419931,0,0,0
188,0.221115877705161,0,0,0
26,0.230162216478493,0,0,0
11,0.200123297988903,0,0,0
2,0.204382490441203,0,0,0
8,0.202150986397173,0,0,0
4,0.195861621643417,0,0,0
3,0.162122276362497,0,0,0
22,0.215095087506343,0,0,0
167,0.235844156066887,0,0,0
9,0.171071690202225,0,0,0
6,0.22505744403461,0,0,0
5,0.175471836531069,0,0,0
5,0.170515857851133,0,0,0
10,0.196988353759516,0,0,0
8,0.161570410600398,0,0,0
141,0.223015095719602,0,0,0
99,0.220021127453074,0,0,0
2,0.242287309570238,0,0,0
7,0.176627921673935,0,0,0
20,0.175175287604798,0,0,0
615,0.220707220928743,0,0,0
3,0.237795426202938,0,0,0
5,0.161935599287972,0,0,0
1376,0.248479838364292,0,0,0
5,0.202730931744445,0,0,0
4,0.202920508265961,0,0,0
5,0.239020133505110,0,0,0
21,0.185186747710686,0,0,0
15,0.190660229325295,0,0,0
84,0.238922288049944,0,0,0
4,0.198871185949538,0,0,0
14,0.182780397145543,0,0,0
2,0.179466643431224,0,0,0
3,0.235162343333941,0,0,0
30,0.178327215644531,0,0,0
4,0.165654295443092,0,0,0
6129,0.24298307942925,0,0,0
71,0.198225179072469,0,0,0
12,0.164412620968651,0,0,0
49,0.204373875604942,0,0,0
48,0.166106290305033,0,0,0
12507,0.243125084710773,0,0,0
494,0.226210483256727,0,0,0
5,0.175413783867843,0,0,0
21,0.229234695881605,0,0,0
10,0.217787425380666,0,0,0
8,0.174421981743071,0,0,0
14,0.163669785906095,0,0,0
171225,0.249046697674785,0,0,291
19,0.165992672413122,0,0,0
2687,0.236386908562854,0,0,0
59,0.210424839104526,0,0,0
319,0.228043887363747,0,0,0
431,0.210173373459838,0,0,0
4,0.194787981172558,0,0,0
146,0.229097054554149,0,0,0
23,0.194991424630862,0,0,0
847,0.228101728949696,0,0,0
131,0.237529492492322,0,0,0
214,0.21063189874636,0,0,0
80,0.194700088619720,0,0,0
43,0.172448412391823,0,0,0
11,0.237052127118222,0,0,0
26,0.230679666732904,0,0,0
140,0.194563060491346,0,0,0
6,0.208372500147671,0,0,0
164,0.212217115915846,0,0,0
2,0.193797510010190,0,0,0
9,0.226175051883329,0,0,0
2,0.190005875644274,0,0,0
10,0.219282558863051,0,0,0
86,0.212500620316714,0,0,0
9,0.242595073273405,0,0,0
33,0.172130110394210,0,0,0
86,0.222467133388855,0,0,0
11,0.195529513980728,0,0,0
854,0.241867480492219,0,0,0
23,0.182705233476590,0,0,0
63,0.187407658684533,0,0,0
4,0.200200778143480,0,0,0
106,0.208997623659670,0,0,0
132,0.232516167974100,0,0,0
419,0.232625895196106,0,0,0
5,0.161459677403327,0,0,0
2410,0.232438567203935,0,0,0
36,0.196781618350651,0,0,0
1596,0.230922987347003,0,0,0
34,0.193789577712305,0,0,0
14,0.170656216801144,0,0,0
42,0.163411154656205,0,0,0
30,0.166764836173970,0,0,0
3,0.208890999355353,0,0,0
3,0.194475391944870,0,0,0
13,0.162761830515228,0,0,0
5,0.235158209421206,0,0,0
176,0.221849552730564,0,0,0
4,0.162304371532518,0,0,0
321,0.222142269974574,0,0,0
4,0.179696066954639,0,0,0
14,0.185850711076055,0,0,0
121,0.211888699412812,0,0,0
39,0.1807712130039,0,0,0
22,0.244574444703758,0,0,0
42,0.206000539211091,0,0,0
2,0.179109378869180,0,0,0
3,0.18649800457526,0,0,0
3,0.197385178054683,0,0,0
86,0.194274566804525,0,0,0
7,0.176240429119207,0,0,0
58,0.242178052845411,0,0,0
298,0.231651360797696,0,0,0
10,0.174823492213618,0,0,0
2,0.185305670823436,0,0,0
10,0.199581173381303,0,0,0
76,0.163749200038146,0,0,0
1136,0.228668322428130,0,0,0
27,0.242657097973861,0,0,0
264,0.240911571143661,0,0,0
364,0.243179965179879,0,0,0
188,0.210669000318740,0,0,0
232,0.213795510446653,0,0,0
2,0.182341677877121,0,0,0
14324,0.241104333165567,0,0,0
9233,0.246033120763022,0,0,0
19411,0.240624608180951,0,0,0
10,0.162511665238999,0,0,0
27,0.192814957671799,0,0,0
14,0.207346313276794,0,0,0
5,0.190246826652437,0,0,0
4,0.225563054913655,0,0,0
43,0.230982578424737,0,0,0
21,0.179179916272406,0,0,0
64,0.245935367047787,0,0,0
22,0.216191872695927,0,0,0
46,0.210329771223478,0,0,0
303,0.212141734254546,0,0,0
3,0.226767243610229,0,0,0
5,0.164854771411046,0,0,0
4,0.172001347115729,0,0,0
12,0.212333438689820,0,0,0
4,0.193412413527258,0,0,0
4,0.215281823170371,0,0,0
67,0.197518343236297,0,0,0
31,0.188331840182655,0,0,0
23,0.208880619981792,0,0,0
511949,0.249060797858983,0,0,1985
67,0.21166976938257,0,0,0
102,0.192383222372737,0,0,0
245,0.239049718060996,0,0,0
41,0.198180941776372,0,0,0
1454,0.236789637992624,0,0,0
151,0.225918439372908,0,0,0
45,0.211024411285762,0,0,0
4,0.188347506881692,0,0,0
109,0.184962765362579,0,0,0
21,0.190639614160173,0,0,0
8,0.220317979427055,0,0,0
17,0.245802964640316,0,0,0
45,0.189438961453270,0,0,0
149,0.218111071700696,0,0,0
2,0.188702839938924,0,0,0
7172,0.247279970014933,0,0,0
24,0.221527771027759,0,0,0
21,0.246011814677622,0,0,0
11866,0.242023031641729,0,0,0
349,0.211916243415326,0,0,0
3,0.187164273362141,0,0,0
13955,0.245601038138848,0,0,0
5,0.233295505030546,0,0,0
6,0.170844171466306,0,0,0
355,0.221763980623800,0,0,0
31,0.243539088072721,0,0,0
3,0.202011559996754,0,0,0
819,0.244795996823814,0,0,0
8,0.189329240727238,0,0,0
122,0.226352740121074,0,0,0
2,0.243635475181509,0,0,0
2,0.201848905435763,0,0,0
33,0.218741258573718,0,0,0
58,0.193733181166463,0,0,0
24,0.178738200850785,0,0,0
2,0.230659160281066,0,0,0
35,0.178531191144139,0,0,0
107,0.203098936604802,0,0,0
51,0.248185031553730,0,0,0
170,0.211941537924577,0,0,0
6,0.240641769918147,0,0,0
6,0.162781879461836,0,0,0
437,0.217423290989827,0,0,0
2845,0.234695251868106,0,0,0
4307,0.247819772479124,0,0,0
29,0.194022303055972,0,0,0
216,0.223488275967538,0,0,0
7,0.165073170510586,0,0,0
10,0.170275110250805,0,0,0
61,0.177742445988115,0,0,0
87,0.200634808449540,0,0,0
13,0.190777957807295,0,0,0
14,0.228396892996971,0,0,0
15,0.180588502455503,0,0,0
202,0.220221445572097,0,0,0
296,0.206636714681517,0,0,0
2,0.232247369915713,0,0,0
124,0.208079389268532,0,0,0
88,0.240546519688796,0,0,0
42,0.192934620613232,0,0,0
18,0.225553083047271,0,0,0
667,0.231336556442548,0,0,0
12,0.220486589875072,0,0,0
96,0.184311495048460,0,0,0
3,0.212223654848058,0,0,0
6,0.180952294466551,0,0,0
4,0.177923702758271,0,0,0
39,0.225688165274914,0,0,0
9,0.202891074081417,0,0,0
38889,0.247660985663533,0,0,0
3,0.183592045432888,0,0,0
470,0.228623339205515,0,0,0
12,0.186915580409113,0,0,0
412,0.235484977769665,0,0,0
2,0.172712976729963,0,0,0
18,0.168352373831440,0,0,0
47592,0.248020424239803,0,0,0
5,0.212408661472145,0,0,0
92,0.218943784087896,0,0,0
4579,0.235717196008191,0,0,0
4,0.166438119080849,0,0,0
152,0.201060850152280,0,0,0
4,0.182088292671833,0,0,0
38,0.170832797978073,0,0,0
59,0.212156447155867,0,0,0
5000,0.233839918673038,0,0,0
5,0.187491791073699,0,0,0
26,0.161791276934091,0,0,0
4,0.18899119121721,0,0,0
289,0.227717331810854,0,0,0
23,0.2100400445587,0,0,0
683,0.207543663280085,0,0,0
15,0.190010068083648,0,0,0
3,0.167373242524918,0,0,0
5,0.239313371998724,0,0,0
4,0.171083301380277,0,0,0
9654,0.242257493988145,0,0,0
9,0.213518109873403,0,0,0
11,0.176914988111239,0,0,0
44,0.201022420718800,0,0,0
377,0.232662744096015,0,0,0
4,0.178407339095138,0,0,0
12,0.197665853416547,0,0,0
410,0.217359813621733,0,0,0
3,0.227043359111994,0,0,0
45,0.227808068343438,0,0,0
19,0.19580235888483,0,0,0
22,0.190214024451561,0,0,0
37,0.162006189895328,0,0,0
2968,0.232812291455921,0,0,0
2,0.174065832707565,0,0,0
9,0.182185475202277,0,0,0
32,0.206124012984801,0,0,0
2,0.166398448664695,0,0,0
48,0.219641377953812,0,0,0
393,0.228819460945670,0,0,0
3,0.186856403900310,0,0,0
13,0.191477186270058,0,0,0
4,0.163037675910164,0,0,0
26,0.179718228329439,0,0,0
19,0.218181053551380,0,0,0
38,0.221521468926221,0,0,0
989,0.222306497734971,0,0,0
7,0.216650688310619,0,0,0
689,0.229750396916643,0,0,0
19,0.164951813649386,0,0,0
2,0.212828610327560,0,0,0
119,0.219688328178599,0,0,0
2,0.234356631361879,0,0,0
94,0.189312265089247,0,0,0
57,0.212978167473339,0,0,0
3643,0.249746798588894,0,0,0
19,0.242907412720378,0,0,0
173,0.208842505645007,0,0,0
479,0.222026495481841,0,0,0
7,0.177511024198029,0,0,0
44,0.193982374079060,0,0,0
7,0.178282439371105,0,0,0
2,0.172878222451545,0,0,0
23,0.182437753891572,0,0,0
319333,0.248487929771654,0,0,1065
2,0.183355910792015,0,0,0
18,0.196250695339404,0,0,0
101049,0.245907043213956,0,0,0
193661,0.246594428340904,0,0,593
3,0.212290465699043,0,0,0
21,0.230774229017552,0,0,0
4,0.165277664242312,0,0,0
159,0.240198098055553,0,0,0
580,0.236536229213234,0,0,0
3,0.236340873201843,0,0,0
2,0.161333491811529,0,0,0
14,0.201746404063888,0,0,0
14,0.231896365357097,0,0,0
12,0.168243964663707,0,0,0
77,0.217091785587836,0,0,0
7,0.17140214654617,0,0,0
68,0.195278850211762,0,0,0
251,0.216486532320268,0,0,0
2,0.221578909961972,0,0,0
207,0.245812108269893,0,0,0
41,0.226623432761990,0,0,0
5,0.222627104253042,0,0,0
16513,0.241263049782719,0,0,0
135,0.204040011367761,0,0,0
9,0.218199615213089,0,0,0
3,0.235262353918515,0,0,0
13,0.174628118223045,0,0,0
4,0.175862556328066,0,0,0
143,0.236218722783960,0,0,0
5,0.163474381510168,0,0,0
30,0.204425769099034,0,0,0
49,0.170157871879637,0,0,0
18,0.241946858938318,0,0,0
45,0.206151883210987,0,0,0
687,0.205801781509072,0,0,0
12674,0.241432753335685,0,0,0
2,0.200929298822302,0,0,0
59155,0.246158012482338,0,0,0
31,0.238203426843975,0,0,0
6,0.174249658950139,0,0,0
15,0.224539357656613,0,0,0
13030,0.244084400632419,0,0,0
5,0.243686773329973,0,0,0
389105,0.249411401888356,0,0,1452
3,0.230739677764941,0,0,0
26,0.227162045896985,0,0,0
1162,0.23125999125652,0,0,0
69,0.163841724744998,0,0,0
12,0.237408388094045,0,0,0
2,0.232347414216492,0,0,0
4,0.215554494149983,0,0,0
568,0.212382411907893,0,0,0
8,0.20508588535944,0,0,0
19,0.206374163446017,0,0,0
3,0.170290362276137,0,0,0
47,0.213741927579977,0,0,0
7647,0.243765019611455,0,0,0
13,0.195335479355417,0,0,0
870,0.22290267201839,0,0,0
3,0.173393952508923,0,0,0
111,0.219557911234442,0,0,0
31,0.227694411622360,0,0,0
113,0.228550389092416,0,0,0
66,0.221820068883244,0,0,0
4,0.163957646612544,0,0,0
46,0.210857081383001,0,0,0
3,0.162359875154216,0,0,0
28,0.160170625310857,0,0,0
28,0.196250599680934,0,0,0
1073,0.243000673106872,0,0,0
4,0.202151267169975,0,0,0
84,0.196924916687422,0,0,0
15,0.171837633103132,0,0,0
8,0.226748925170396,0,0,0
60,0.241858594669029,0,0,0
2,0.245137960598804,0,0,0
22,0.190108642952982,0,0,0
116,0.199791683915537,0,0,0
50,0.174601943865418,0,0,0
5,0.197053248151205,0,0,0
880,0.237768261565361,0,0,0
2,0.190738572229166,0,0,0
9,0.230329568698071,0,0,0
181,0.233272558522876,0,0,0
1522,0.247217122022994,0,0,0
5,0.235720903009642,0,0,0
285,0.218271425827406,0,0,0
1480,0.232929889850784,0,0,0
10,0.163126963463146,0,0,0
13,0.167816987540573,0,0,0
82,0.218449793418404,0,0,0
31,0.165928524073679,0,0,0
2,0.178233254530933,0,0,0
3,0.212605514491443,0,0,0
5,0.210801192885265,0,0,0
67,0.182055054004304,0,0,0
23,0.241632221487816,0,0,0
2,0.203773695274722,0,0,0
20,0.220719569881912,0,0,0
3,0.234289822313003,0,0,0
97,0.244670169642195,0,0,0
20,0.179104010385927,0,0,0
9,0.175577703446615,0,0,0
4,0.183258635306265,0,0,0
141,0.202261232375167,0,0,0
82,0.170796982189640,0,0,0
18,0.168413401735015,0,0,0
3,0.172950941936579,0,0,0
27,0.178483939589933,0,0,0
59,0.227282410969492,0,0,0
3,0.190835380298085,0,0,0
27,0.169444822978694,0,0,0
67,0.196197127874475,0,0,0
5810,0.241564230318181,0,0,0
150,0.224209513128735,0,0,0
29,0.183788556784857,0,0,0
8,0.214478286365047,0,0,0
1130,0.24219904869562,0,0,0
8,0.176928042653017,0,0,0
36,0.243169851491693,0,0,0
234,0.222239701761864,0,0,0
6,0.239220161589328,0,0,0
25,0.162284386917017,0,0,0
6,0.166647427461576,0,0,0
36,0.221395125398412,0,0,0
774,0.239344638613984,0,0,0
2,0.182959618119057,0,0,0
15,0.180744966310449,0,0,0
92,0.186625366881490,0,0,0
28,0.185780727947131,0,0,0
36,0.198921252524015,0,0,0
236,0.228176739837509,0,0,0
3,0.160501175029203,0,0,0
8,0.185933627041522,0,0,0
14,0.204087630719878,0,0,0
12,0.197540066970978,0,0,0
23,0.223779212497175,0,0,0
71,0.169808757922146,0,0,0
6,0.210408031544648,0,0,0
601,0.228427911130711,0,0,0
95,0.207202031658962,0,0,0
10,0.174381052050740,0,0,0
27,0.180797725801822,0,0,0
41,0.200459149030503,0,0,0
680,0.222728992593475,0,0,0
9,0.176458283960819,0,0,0
78,0.201775951969903,0,0,0
45,0.197923276289366,0,0,0
